formulation,test_case_id,ligand,target,protein,baseline_log2,ode_log2,scm_log2,baseline_fold,ode_fold,scm_fold
hill,6,EGF,AKT,mTOR,0.04686956392651076,0.17542535434444628,0.13427429990168405,1.0330209865918378,1.1292973100276502,1.0975405933590747
hill,6,EGF,AKT,PDK1,0.20144321204632032,0.07147071676267136,0.20144321204632032,1.1498480399531623,1.0507873347706833,1.1498480399531623
mass_action,7,Insulin,AKT,AKT,2.422798732765765,3.0733667890305223,2.089751950451941,5.3621022589641,8.417353979442753,4.2567487834499405
mass_action,7,Insulin,AKT,EGFR,0.1065514109816652,0.2209610301416678,0.1065514109816652,1.0766515520310094,1.1655097151387512,1.0766515520310094
mass_action,7,Insulin,AKT,GSK3,0.0736746645330476,0.09080400167467795,0.08172436867291666,1.052393807502747,1.0649635122159338,1.058282187491066
mass_action,7,Insulin,AKT,MAPK,0.7073642375430509,0.47895415348922454,0.2184277547166471,1.6328182782670353,1.3937329474089417,1.16346495425294
mass_action,7,Insulin,AKT,MEK,0.42903124860712616,0.2937974190036079,0.06268549719745442,1.3463292302958232,1.2258627142292797,1.0444080605030719
mass_action,7,Insulin,AKT,mTOR,0.15231468079321275,0.4133447952518715,0.18145634656454546,1.1113511102403881,1.331769860020433,1.134028066518869
mass_action,7,Insulin,AKT,PDK1,0.06870624581052237,0.17576199401440998,0.06870624581052237,1.0487757594738343,1.1295608519547875,1.0487757594738343
mm,7,Insulin,AKT,AKT,2.422798732765765,2.0678923283405406,1.8613271285041253,5.3621022589641,4.192736976756715,3.633417448354888
mm,7,Insulin,AKT,EGFR,0.1065514109816652,0.3676321996024261,0.1065514109816652,1.0766515520310094,1.2902335166335364,1.0766515520310094
mm,7,Insulin,AKT,GSK3,0.0736746645330476,0.10857911499219547,0.08730409283549645,1.052393807502747,1.0781658468190622,1.062383093164922
mm,7,Insulin,AKT,MAPK,0.7073642375430509,0.457623676726578,0.18682623738942672,1.6328182782670353,1.3732779706956604,1.1382569256671686
mm,7,Insulin,AKT,MEK,0.42903124860712616,0.30481603816473646,0.08897295353098089,1.3463292302958232,1.2352611156937157,1.0636127329629383
mm,7,Insulin,AKT,mTOR,0.15231468079321275,0.8254708415285607,0.2608513627543153,1.1113511102403881,1.7721132951252234,1.19818556893098
mm,7,Insulin,AKT,PDK1,0.06870624581052237,0.5302252126753997,0.06870624581052237,1.0487757594738343,1.4441546184506853,1.0487757594738343
hill,7,Insulin,AKT,AKT,2.422798732765765,2.1955710653196,1.8168509712837584,5.3621022589641,4.580709476423798,3.523113544187441
hill,7,Insulin,AKT,EGFR,0.1065514109816652,0.26700857662159283,0.1065514109816652,1.0766515520310094,1.2033101794900871,1.0766515520310094
hill,7,Insulin,AKT,GSK3,0.0736746645330476,0.16498443161683135,0.25588435281042343,1.052393807502747,1.1211539793878222,1.1940674661650652
hill,7,Insulin,AKT,MAPK,0.7073642375430509,0.5346247608350116,0.2130285950104145,1.6328182782670353,1.4485653395469633,1.1591189260523864
hill,7,Insulin,AKT,MEK,0.42903124860712616,0.10208300537580106,0.004748919183909628,1.3463292302958232,1.0733220381384296,1.0032971235366064
hill,7,Insulin,AKT,mTOR,0.15231468079321275,0.9814143850155453,0.25138622111663367,1.1113511102403881,1.9744001168954735,1.1903503200521055
hill,7,Insulin,AKT,PDK1,0.06870624581052237,0.8759941164522169,0.06870624581052237,1.0487757594738343,1.8352722800651027,1.0487757594738343
mass_action,8,EGF,AKT,AKT,2.6028619171860377,1.406697222917543,1.3266671293229655,6.074905291839042,2.6512950373519812,2.5082256234605325
mass_action,8,EGF,AKT,EGFR,0.039408187025538055,0.47863202095920965,0.039408187025538055,1.0276921669814756,1.393421782133054,1.0276921669814756
mass_action,8,EGF,AKT,GSK3,0.1900127297447195,0.5476750275942452,0.043930828979058645,1.1407737815403385,1.4617281516292655,1.0309188894839527
mass_action,8,EGF,AKT,MAPK,0.67751919174877,0.014105890835291568,0.39914436961509403,1.599387138668956,1.0098254139756733,1.318725571955558
mass_action,8,EGF,AKT,MEK,0.5234204557406692,0.22077766398432885,0.22777476869883695,1.4373590161301002,1.1653615885764754,1.1710273479829867
mass_action,8,EGF,AKT,mTOR,0.0041874520313096575,0.4578301083390268,0.06827201015948858,1.0029067369604603,1.3734744836526995,1.048460136780855
mass_action,8,EGF,AKT,PDK1,0.007306318967348346,0.5023078820506385,0.007306318967348346,1.0050771999107933,1.4164776930316632,1.0050771999107933
mm,8,EGF,AKT,AKT,2.6028619171860377,0.6882654719369975,1.0669487341020378,6.074905291839042,1.6113450602357553,2.0949978075223252
mm,8,EGF,AKT,EGFR,0.039408187025538055,0.33196085338850656,0.039408187025538055,1.0276921669814756,1.2587230183936888,1.0276921669814756
mm,8,EGF,AKT,GSK3,0.1900127297447195,0.08867336580050245,0.003886989209879621,1.1407737815403385,1.0633918877854418,1.0026978883801485
mm,8,EGF,AKT,MAPK,0.67751919174877,0.10121345583040897,0.3852486785961944,1.599387138668956,1.072675314155633,1.3060848986744489
mm,8,EGF,AKT,MEK,0.5234204557406692,0.6806452054169208,0.08619977571511117,1.4373590161301002,1.6028564280746143,1.061570198616174
mm,8,EGF,AKT,mTOR,0.0041874520313096575,0.079685788194919,0.07180680996444189,1.0029067369604603,1.0567878523567513,1.0510321568638046
mm,8,EGF,AKT,PDK1,0.007306318967348346,0.02555559271013229,0.007306318967348346,1.0050771999107933,1.017871606643915,1.0050771999107933
hill,8,EGF,AKT,AKT,2.6028619171860377,0.601468176981422,1.051628077301835,6.074905291839042,1.5172598399100403,2.072867753712866
hill,8,EGF,AKT,EGFR,0.039408187025538055,0.43258447473231754,0.039408187025538055,1.0276921669814756,1.3496492029470493,1.0276921669814756
hill,8,EGF,AKT,GSK3,0.1900127297447195,0.45958061409471695,0.11579073927505945,1.1407737815403385,1.3751420115322364,1.0835687854386709
hill,8,EGF,AKT,MAPK,0.67751919174877,0.08207900503573251,0.39005303795107293,1.599387138668956,1.0585423613093885,1.3104415788758235
hill,8,EGF,AKT,MEK,0.5234204557406692,0.589315761918132,0.157212963469058,1.4373590161301002,1.5045330117177085,1.1151308166457141
hill,8,EGF,AKT,mTOR,0.0041874520313096575,0.12436833838662587,0.08321728394386363,1.0029067369604603,1.0900303753034235,1.059377875309596
hill,8,EGF,AKT,PDK1,0.007306318967348346,0.1372788142509973,0.007306318967348346,1.0050771999107933,1.0998286809112021,1.0050771999107933
mass_action,9,Insulin,AKT,AKT,3.201810567216272,3.8523786234810293,2.8687637849024483,9.20112691535438,14.44380179934844,7.304389941058282
mass_action,9,Insulin,AKT,EGFR,0.17697780499280746,0.29138742415281005,0.17697780499280746,1.1305131747163943,1.223816643127228,1.1305131747163943
mass_action,9,Insulin,AKT,GSK3,0.05008844024608583,0.21456710645381138,0.04203873610621678,1.0353283897080183,1.160355687043305,1.029567726773921
