tf_knockdown,gene,baseline_log2,true_knockdown_log2,true_fc,ode_pred_log2,scm_pred_log2,ode_fc,scm_fc,ode_abs_error,scm_abs_error,ode_fc_error,scm_fc_error,scm_wins_abs,scm_wins_fc,ode_fold_error,scm_fold_error,baseline_error
crp,lacY,7.04311566421072,7.130216012387867,0.08710034817714618,6.006058279208509,6.607230309325635,-1.0370573850022113,-0.4358853548850856,1.1241577331793575,0.5229857030622318,1.1241577331793575,0.5229857030622318,True,True,2.179742527681898,1.4369259367068798,0.08710034817714618
crp,lacA,7.04311566421072,7.130216012387867,0.08710034817714618,5.564961188642444,6.482697745440616,-1.4781544755682763,-0.5604179187701046,1.5652548237454225,0.6475182669472508,1.5652548237454225,0.6475182669472508,True,True,2.9592976741534307,1.5664712231665616,0.08710034817714618
crp,malE,6.850605057651473,5.851807105507966,-0.9987979521435069,6.258291221950878,5.976203194780634,-0.5923138357005948,-0.8744018628708385,0.40648411644291205,0.12439608927266832,0.40648411644291205,0.12439608927266832,True,True,1.3254517162386044,1.0900513427281404,0.9987979521435069
crp,malF,6.850605057651473,5.851807105507966,-0.9987979521435069,6.85001215379833,6.060756884177705,-0.0005929038531427011,-0.7898481734737679,0.9982050482903642,0.20894977866973896,0.9982050482903642,0.20894977866973896,True,True,1.9975132158730118,1.1558464699448325,0.9987979521435069
crp,malG,6.850605057651473,5.851807105507966,-0.9987979521435069,6.077969690315299,5.965015011381674,-0.7726353673361741,-0.8855900462697992,0.22616258480733276,0.11320790587370766,0.22616258480733276,0.11320790587370766,True,True,1.1697194783958889,1.0816306253609604,0.9987979521435069
crp,aroA,9.587233239631217,9.892887749178266,0.30565450954704865,5.795080624118389,9.696963315036097,-3.792152615512828,0.10973007540487956,4.097807125059877,0.1959244341421691,4.097807125059877,0.1959244341421691,True,True,17.122329925171684,1.1454578993152968,0.30565450954704865
crp,zraS,6.478111316111304,6.5318845931736025,0.053773277062298064,5.292633945590145,5.795821111207008,-1.1854773705211592,-0.6822902049042963,1.2392506475834573,0.7360634819665943,1.2392506475834573,0.7360634819665943,True,True,2.360758799047515,1.6656248315490374,0.053773277062298064
lacI,aldA,8.528392370486346,8.300667412880685,-0.2277249576056608,4.234464046980923,8.445765779764477,-4.293928323505423,-0.08262659072186906,4.066203365899762,0.14509836688379174,4.066203365899762,0.14509836688379174,True,True,16.751325653916233,1.1058060476230887,0.2277249576056608
lacI,ampD,7.241577170087178,7.6868731541941635,0.4452959841069859,4.507094509000259,7.288962586942774,-2.7344826610869184,0.047385416855596496,3.1797786451939043,0.3979105672513894,3.1797786451939043,0.3979105672513894,True,True,9.061680628812804,1.317598271209817,0.4452959841069859
lacI,ampE,7.241577170087178,7.6868731541941635,0.4452959841069859,5.412903195798854,7.289329036449403,-1.828673974288324,0.04775186636222539,2.27396995839531,0.3975441177447605,2.27396995839531,0.3975441177447605,True,True,4.836521990160965,1.3172636392139505,0.4452959841069859
